--- TOP PROCESSES ---
Mem: 392740K used, 515736K free, 6060K shrd, 8208K buff, 48416K cached
CPU:   2% usr   0% sys   0% nic  97% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.02 0.00 2/175 4890
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
16149 14591 root     S    28020   3%   1   0% nginx: worker process
16150 14591 root     S    27796   3%   3   0% nginx: worker process
16148 14591 root     S    27256   3%   1   0% nginx: worker process
16154 14591 root     S    26788   3%   0   0% nginx: worker process
/usr/lib/opkg/info/libuci-lua54.control:Installed-Size: 8234
/usr/lib/opkg/info/libuci20130104.control:Installed-Size: 18718
/usr/lib/opkg/info/libuclient20201210.control:Installed-Size: 11404
/usr/lib/opkg/info/libucode20230711.control:Installed-Size: 79837
/usr/lib/opkg/info/liburing.control:Installed-Size: 7122
/usr/lib/opkg/info/libusb-1.0-0.control:Installed-Size: 35176
/usr/lib/opkg/info/libusbmuxd.control:Installed-Size: 17149
/usr/lib/opkg/info/libustream-openssl20201210.control:Installed-Size: 5136
/usr/lib/opkg/info/libuuid1.control:Installed-Size: 13274
/usr/lib/opkg/info/libuv1.control:Installed-Size: 76816
/usr/lib/opkg/info/libvorbis.control:Installed-Size: 199275
/usr/lib/opkg/info/libwifisoncfg.control:Installed-Size: 24544
/usr/lib/opkg/info/libxml2.control:Installed-Size: 510658
/usr/lib/opkg/info/libxtables12.control:Installed-Size: 23412
/usr/lib/opkg/info/libyaml.control:Installed-Size: 41808
/usr/lib/opkg/info/logd.control:Installed-Size: 13190
/usr/lib/opkg/info/losetup.control:Installed-Size: 49170
/usr/lib/opkg/info/lsqlite3-lua5.4.control:Installed-Size: 15888
/usr/lib/opkg/info/lsqlite3.control:Installed-Size: 15447
/usr/lib/opkg/info/lua-cjson-lua5.4.control:Installed-Size: 14205
/usr/lib/opkg/info/lua-cjson.control:Installed-Size: 14169
/usr/lib/opkg/info/lua-eco-base64.control:Installed-Size: 2441
/usr/lib/opkg/info/lua-eco-dns.control:Installed-Size: 4041
/usr/lib/opkg/info/lua-eco-hmac.control:Installed-Size: 767
/usr/lib/opkg/info/lua-eco-http.control:Installed-Size: 9178
/usr/lib/opkg/info/lua-eco-ip.control:Installed-Size: 2953
/usr/lib/opkg/info/lua-eco-log.control:Installed-Size: 4711
/usr/lib/opkg/info/lua-eco-md5.control:Installed-Size: 4480
/usr/lib/opkg/info/lua-eco-mqtt.control:Installed-Size: 4688
/usr/lib/opkg/info/lua-eco-netlink.control:Installed-Size: 12915
/usr/lib/opkg/info/lua-eco-nl80211.control:Installed-Size: 12692
/usr/lib/opkg/info/lua-eco-sha256.control:Installed-Size: 3278
/usr/lib/opkg/info/lua-eco-socket.control:Installed-Size: 11989
/usr/lib/opkg/info/lua-eco-ssl.control:Installed-Size: 8602
/usr/lib/opkg/info/lua-eco-termios.control:Installed-Size: 4089
/usr/lib/opkg/info/lua-eco-ubus.control:Installed-Size: 9291
/usr/lib/opkg/info/lua-eco.control:Installed-Size: 35988
/usr/lib/opkg/info/lua.control:Installed-Size: 5224
/usr/lib/opkg/info/luabitop.control:Installed-Size: 2483
/usr/lib/opkg/info/luci-app-firewall.control:Installed-Size: 17151
/usr/lib/opkg/info/luci-app-opkg.control:Installed-Size: 9153
/usr/lib/opkg/info/luci-app-upnp.control:Installed-Size: 4052
/usr/lib/opkg/info/luci-base.control:Installed-Size: 125192
/usr/lib/opkg/info/luci-compat.control:Installed-Size: 45434
/usr/lib/opkg/info/luci-i18n-base-zh-cn.control:Installed-Size: 51857
/usr/lib/opkg/info/luci-i18n-firewall-zh-cn.control:Installed-Size: 7707
/usr/lib/opkg/info/luci-i18n-opkg-zh-cn.control:Installed-Size: 2248
/usr/lib/opkg/info/luci-i18n-upnp-zh-cn.control:Installed-Size: 1577
/usr/lib/opkg/info/luci-lib-base.control:Installed-Size: 9636
/usr/lib/opkg/info/luci-lib-ip.control:Installed-Size: 12422
/usr/lib/opkg/info/luci-lib-jsonc.control:Installed-Size: 4772
/usr/lib/opkg/info/luci-lib-nixio.control:Installed-Size: 34354
/usr/lib/opkg/info/luci-light.control:Installed-Size: 96
/usr/lib/opkg/info/luci-lua-runtime.control:Installed-Size: 30821
/usr/lib/opkg/info/luci-mod-admin-full.control:Installed-Size: 96
/usr/lib/opkg/info/luci-mod-network.control:Installed-Size: 54466
/usr/lib/opkg/info/luci-mod-status.control:Installed-Size: 38352
/usr/lib/opkg/info/luci-mod-system.control:Installed-Size: 17640
/usr/lib/opkg/info/luci-proto-ipv6.control:Installed-Size: 2645
/usr/lib/opkg/info/luci-proto-ppp.control:Installed-Size: 2203
/usr/lib/opkg/info/luci-theme-bootstrap.control:Installed-Size: 15866
/usr/lib/opkg/info/luci.control:Installed-Size: 96
/usr/lib/opkg/info/map.control:Installed-Size: 8111
/usr/lib/opkg/info/mcproxy.control:Installed-Size: 145806
/usr/lib/opkg/info/minidlna.control:Installed-Size: 139464
/usr/lib/opkg/info/minidump.control:Installed-Size: 5097
/usr/lib/opkg/info/miniupnpd-nftables.control:Installed-Size: 87306
/usr/lib/opkg/info/mkf2fs.control:Installed-Size: 16389
/usr/lib/opkg/info/mptun-core.control:Installed-Size: 9402296
/usr/lib/opkg/info/mtd.control:Installed-Size: 11052
/usr/lib/opkg/info/netifd.control:Installed-Size: 116961
/usr/lib/opkg/info/nftables-json.control:Installed-Size: 314541
/usr/lib/opkg/info/nginx-ssl.control:Installed-Size: 400941
/usr/lib/opkg/info/nss-udp-st.control:Installed-Size: 3998
/usr/lib/opkg/info/ntfs-3g-utils.control:Installed-Size: 340359
/usr/lib/opkg/info/ntfs-3g.control:Installed-Size: 197777
/usr/lib/opkg/info/odhcp6c.control:Installed-Size: 29052
/usr/lib/opkg/info/odhcpd-ipv6only.control:Installed-Size: 44993
/usr/lib/opkg/info/openssl-util.control:Installed-Size: 369318
/usr/lib/opkg/info/openvpn-easy-rsa.control:Installed-Size: 48227
/usr/lib/opkg/info/openvpn-openssl.control:Installed-Size: 293947
/usr/lib/opkg/info/openwrt-keyring.control:Installed-Size: 311
/usr/lib/opkg/info/opkg.control:Installed-Size: 80268
/usr/lib/opkg/info/oui-librpc.control:Installed-Size: 3393
/usr/lib/opkg/info/pm-utils.control:Installed-Size: 15611
/usr/lib/opkg/info/ppecfg.control:Installed-Size: 8717
/usr/lib/opkg/info/ppp-mod-pppoe.control:Installed-Size: 11450
/usr/lib/opkg/info/ppp-mod-pppol2tp.control:Installed-Size: 5121
/usr/lib/opkg/info/ppp-mod-pptp.control:Installed-Size: 18546
/usr/lib/opkg/info/ppp.control:Installed-Size: 139352
/usr/lib/opkg/info/pppoe-discovery.control:Installed-Size: 7175
/usr/lib/opkg/info/procd-seccomp.control:Installed-Size: 19441
/usr/lib/opkg/info/procd-ujail.control:Installed-Size: 44104
/usr/lib/opkg/info/procd.control:Installed-Size: 63712
/usr/lib/opkg/info/qca-acfg.control:Installed-Size: 219277
/usr/lib/opkg/info/qca-cfg80211.control:Installed-Size: 9149
/usr/lib/opkg/info/qca-cfg80211tool.control:Installed-Size: 35380
/usr/lib/opkg/info/qca-cnss-daemon.control:Installed-Size: 20684
/usr/lib/opkg/info/qca-diag.control:Installed-Size: 125971
/usr/lib/opkg/info/qca-hapd-supp-macsec.control:Installed-Size: 1416876
/usr/lib/opkg/info/qca-hapd-supp.control:Installed-Size: 1586515
/usr/lib/opkg/info/qca-hostapd-cli.control:Installed-Size: 41779
/usr/lib/opkg/info/qca-icm.control:Installed-Size: 118947
/usr/lib/opkg/info/qca-iface-mgr.control:Installed-Size: 45432
/usr/lib/opkg/info/qca-lowi.control:Installed-Size: 584292
/usr/lib/opkg/info/qca-mcs-apps.control:Installed-Size: 46112
/usr/lib/opkg/info/qca-nsm-app.control:Installed-Size: 4079
/usr/lib/opkg/info/qca-nsm-lib.control:Installed-Size: 3880
/usr/lib/opkg/info/qca-qmi-framework.control:Installed-Size: 59896
/usr/lib/opkg/info/qca-sal-qos-test.control:Installed-Size: 3187
/usr/lib/opkg/info/qca-sal-qos.control:Installed-Size: 2972
/usr/lib/opkg/info/qca-sal-rule-test.control:Installed-Size: 6225
/usr/lib/opkg/info/qca-sal-rule.control:Installed-Size: 5036
/usr/lib/opkg/info/qca-spectral.control:Installed-Size: 33528
/usr/lib/opkg/info/qca-ssdk-shell.control:Installed-Size: 308827
/usr/lib/opkg/info/qca-thermald.control:Installed-Size: 21259
/usr/lib/opkg/info/qca-wifi-scripts.control:Installed-Size: 6961
/usr/lib/opkg/info/qca-wlanfw-upgrade.control:Installed-Size: 2040
/usr/lib/opkg/info/qca-wpa-cli.control:Installed-Size: 58512
/usr/lib/opkg/info/qca-wrapd.control:Installed-Size: 51861
/usr/lib/opkg/info/qti-encrypt.control:Installed-Size: 688795
/usr/lib/opkg/info/qti-license-pfm.control:Installed-Size: 1630
/usr/lib/opkg/info/qti-mfg-provision.control:Installed-Size: 3739
/usr/lib/opkg/info/qti-softsku-license-loader-libs.control:Installed-Size: 24846
/usr/lib/opkg/info/relayd.control:Installed-Size: 12124
/usr/lib/opkg/info/resolveip.control:Installed-Size: 1966
/usr/lib/opkg/info/rng-tools.control:Installed-Size: 46068
/usr/lib/opkg/info/rp-pppoe-common.control:Installed-Size: 414
/usr/lib/opkg/info/rp-pppoe-server.control:Installed-Size: 26804
/usr/lib/opkg/info/rpcd-mod-file.control:Installed-Size: 7843
/usr/lib/opkg/info/rpcd-mod-iwinfo.control:Installed-Size: 7982
/usr/lib/opkg/info/rpcd-mod-luci.control:Installed-Size: 14788
/usr/lib/opkg/info/rpcd-mod-rrdns.control:Installed-Size: 4213
/usr/lib/opkg/info/rpcd-mod-ucode.control:Installed-Size: 8270
/usr/lib/opkg/info/rpcd.control:Installed-Size: 27918
/usr/lib/opkg/info/rstp.control:Installed-Size: 62822
/usr/lib/opkg/info/rtty-openssl.control:Installed-Size: 26339
/usr/lib/opkg/info/samba4-libs.control:Installed-Size: 9377980
/usr/lib/opkg/info/samba4-server.control:Installed-Size: 251925
/usr/lib/opkg/info/samba4-utils.control:Installed-Size: 34036
/usr/lib/opkg/info/smstools3.control:Installed-Size: 150720
/usr/lib/opkg/info/squashfs4.control:Installed-Size: 86576
/usr/lib/opkg/info/ssmtp.control:Installed-Size: 13456
/usr/lib/opkg/info/stubby.control:Installed-Size: 22024
/usr/lib/opkg/info/sudo.control:Installed-Size: 513216
/usr/lib/opkg/info/swconfig.control:Installed-Size: 10332
/usr/lib/opkg/info/sysstat.control:Installed-Size: 327637
/usr/lib/opkg/info/sysupgrade-helper.control:Installed-Size: 142750
/usr/lib/opkg/info/tailscale.control:Installed-Size: 9443955
/usr/lib/opkg/info/tayga.control:Installed-Size: 21360
/usr/lib/opkg/info/tc-full.control:Installed-Size: 205464
/usr/lib/opkg/info/tc-mod-iptables.control:Installed-Size: 3779
/usr/lib/opkg/info/tcpdump.control:Installed-Size: 408872
/usr/lib/opkg/info/terminfo.control:Installed-Size: 8200
/usr/lib/opkg/info/tor-geoip.control:Installed-Size: 1282086
/usr/lib/opkg/info/tor.control:Installed-Size: 1421004
/usr/lib/opkg/info/ubi-utils.control:Installed-Size: 116069
/usr/lib/opkg/info/uboot-envtools.control:Installed-Size: 17395
/usr/lib/opkg/info/ubox.control:Installed-Size: 20054
/usr/lib/opkg/info/ubus.control:Installed-Size: 6995
/usr/lib/opkg/info/ubusd.control:Installed-Size: 13806
/usr/lib/opkg/info/uci.control:Installed-Size: 7550
/usr/lib/opkg/info/uclient-fetch.control:Installed-Size: 7940
/usr/lib/opkg/info/ucode-mod-fs.control:Installed-Size: 10808
/usr/lib/opkg/info/ucode-mod-html.control:Installed-Size: 31846
/usr/lib/opkg/info/ucode-mod-lua.control:Installed-Size: 9587
/usr/lib/opkg/info/ucode-mod-math.control:Installed-Size: 2864
/usr/lib/opkg/info/ucode-mod-ubus.control:Installed-Size: 15360
/usr/lib/opkg/info/ucode-mod-uci.control:Installed-Size: 7837
/usr/lib/opkg/info/ucode.control:Installed-Size: 6790
/usr/lib/opkg/info/uhttpd-mod-ubus.control:Installed-Size: 8984
/usr/lib/opkg/info/uhttpd.control:Installed-Size: 31256
/usr/lib/opkg/info/unzip.control:Installed-Size: 120928
/usr/lib/opkg/info/uqmi.control:Installed-Size: 53036
/usr/lib/opkg/info/urandom-seed.control:Installed-Size: 830
/usr/lib/opkg/info/urngd.control:Installed-Size: 8061
/usr/lib/opkg/info/usb-modeswitch.control:Installed-Size: 14358
/usr/lib/opkg/info/usbmuxd.control:Installed-Size: 34197
/usr/lib/opkg/info/usign.control:Installed-Size: 12676
/usr/lib/opkg/info/vsftpd-tls.control:Installed-Size: 65357
/usr/lib/opkg/info/vxlan.control:Installed-Size: 1452
/usr/lib/opkg/info/wififw_mount_script.control:Installed-Size: 5273
/usr/lib/opkg/info/wireguard-tools.control:Installed-Size: 28899
/usr/lib/opkg/info/wireless-regdb.control:Installed-Size: 2462
/usr/lib/opkg/info/wireless-tools.control:Installed-Size: 27209
/usr/lib/opkg/info/wsdd2.control:Installed-Size: 21230
/usr/lib/opkg/info/wwan.control:Installed-Size: 10030
/usr/lib/opkg/info/xtables-nft.control:Installed-Size: 84839
/usr/lib/opkg/info/zerotier.control:Installed-Size: 563801
/usr/lib/opkg/info/zlib.control:Installed-Size: 36460
/usr/lib/opkg/info/zoneinfo-africa.control:Installed-Size: 8532
/usr/lib/opkg/info/zoneinfo-america.control:Installed-Size: 87280
/usr/lib/opkg/info/zoneinfo-asia.control:Installed-Size: 30625
/usr/lib/opkg/info/zoneinfo-atlantic.control:Installed-Size: 5793
/usr/lib/opkg/info/zoneinfo-australia-nz.control:Installed-Size: 6687
/usr/lib/opkg/info/zoneinfo-core.control:Installed-Size: 20176
/usr/lib/opkg/info/zoneinfo-europe.control:Installed-Size: 21706
/usr/lib/opkg/info/zoneinfo-indian.control:Installed-Size: 940
/usr/lib/opkg/info/zoneinfo-pacific.control:Installed-Size: 6660
/usr/lib/opkg/info/zoneinfo-poles.control:Installed-Size: 5043
/usr/lib/opkg/info/zoneinfo-simple.control:Installed-Size: 16827
